"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN","WSF1","WSF2","WSF5","WSFG"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-01",,"0.08","0.0","72","43",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-02",,"0.00","0.0","53","36",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-03",,"0.00","0.0","59","34",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-04",,"0.00","0.0","70","38",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-05",,"0.00","0.0","62","36",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-06",,"0.00","0.0","68","37",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-07",,"0.00","0.0","62","46",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-08",,"0.01","0.0","71","49",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-09",,"0.00","0.0","76","48",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-10",,"0.02","0.0","61","51",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-11",,"0.00","0.0","64","46",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-12",,"0.76","0.0","71","58",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-13",,"0.42","0.0","60","38",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-14",,"0.00","0.0","47","30",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-15",,"0.00","0.0","53","29",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-16",,"0.05","0.0","62","33",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-17",,"0.93","0.0","53","27",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-18",,"0.00","0.0","41","22",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-19",,"0.40","0.0","44","35",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-20",,"0.48","0.0","52","42",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-21",,"0.02","0.0","49","38",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-22",,"0.00","0.0","62","32",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-23",,"1.17","0.0","54","24",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-24",,"0.00","0.0","35","21",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-25",,"0.00","0.0","45","31",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99691","-90.27751","1.2","1948-01-26",,"0.00","0.0","57","36",,,,
