"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","WSFG"
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","26.6847","-80.0994","5.8","1938-07-01",,"0.08",,,"90","73",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","26.6847","-80.0994","5.8","1938-07-02",,"0.00",,,"94","71",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","26.6847","-80.0994","5.8","1938-07-03",,,,,"93","72",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","26.6847","-80.0994","5.8","1938-07-04",,,,,"92","72",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","26.6847","-80.0994","5.8","1938-07-05",,"0.04",,,"80","75",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","26.6847","-80.0994","5.8","1938-07-06",,"0.26",,,"81","73",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","26.6847","-80.0994","5.8","1938-07-07",,"2.03",,,"90","73",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","26.6847","-80.0994","5.8","1938-07-08",,"0.20",,,"88","74",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","26.6847","-80.0994","5.8","1938-07-09",,"0.23",,,"87","72",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","26.6847","-80.0994","5.8","1938-07-10",,"0.45",,,"88","73",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","26.6847","-80.0994","5.8","1938-07-11",,,,,"87","78",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","26.6847","-80.0994","5.8","1938-07-12",,"0.08",,,"89","76",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","26.6847","-80.0994","5.8","1938-07-13",,,,,"89","72",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","26.6847","-80.0994","5.8","1938-07-14",,"0.00",,,"88","71",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","26.6847","-80.0994","5.8","1938-07-15",,"0.15",,,"89","72",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","26.6847","-80.0994","5.8","1938-07-16",,"0.32",,,"83","72",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","26.6847","-80.0994","5.8","1938-07-17",,"2.71",,,"88","72",
