"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN","WDMV","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-01",,"0.00","0.0","82","63",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-02",,"0.00","0.0","82","66",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-03",,"0.00","0.0","82","64",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-04",,"0.00","0.0","84","65",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-05",,"0.00","0.0","84","68",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-06",,"0.52","0.0","86","64",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-07",,"0.85","0.0","79","70",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-08",,"0.01","0.0","80","65",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-09",,"0.19","0.0","82","65",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-10",,"0.46","0.0","81","65",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-11",,"0.35","0.0","80","66",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-12",,"0.49","0.0","80","66",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-13",,"0.22","0.0","80","65",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-14",,"0.01","0.0","80","64",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-15",,"0.06","0.0","79","63",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-16",,"0.51","0.0","79","67",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-17",,"0.31","0.0","79","66",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-18",,"0.49","0.0","81","65",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-19",,"0.77","0.0","78","64",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-20",,"2.87","0.0","81","66",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-21",,"0.02","0.0","80","65",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-22",,"0.32","0.0","80","67",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-23",,"0.11","0.0","80","67",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-24",,"0.08","0.0","81","64",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-25",,"0.00","0.0","80","64",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-26",,"0.00","0.0","80","62",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-27",,"0.29","0.0","82","65",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-28",,"0.06","0.0","84","66",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-29",,"0.05","0.0","81","63",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-30",,"0.00","0.0","80","66",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-10-31",,"0.00","0.0","85","67",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-01",,"0.40","0.0","80","66",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-02",,"0.20","0.0","79","66",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-03",,"0.04","0.0","79","66",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-04",,"0.16","0.0","80","66",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-05",,"0.17","0.0","77","68",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-06",,"0.99","0.0","79","65",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-07",,"0.02","0.0","79","65",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-08",,"0.38","0.0","78","65",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-09",,"0.14","0.0","78","67",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-10",,"0.02","0.0","80","65",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-11",,"0.06","0.0","76","62",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-12",,"0.11","0.0","73","62",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-13",,"0.23","0.0","73","63",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-14",,"0.00","0.0","75","60",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-15",,"0.04","0.0","78","58",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-16",,"0.12","0.0","76","64",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-17",,"0.29","0.0","77","59",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-18",,"0.40","0.0","72","63",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-19",,"0.06","0.0","76","60",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-20",,"0.02","0.0","78","60",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-21",,"0.02","0.0","80","60",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-22",,"0.04","0.0","83","62",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-23",,"0.02","0.0","79","63",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-24",,"0.00","0.0","78","62",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-25",,"0.19","0.0","77","62",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-26",,"2.85","0.0","75","66",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-27",,"3.27","0.0","77","66",,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","1949-11-28",,"0.14","0.0","78","67",,,,,,
